#def REPORTPATH=$/PORITE/sspopor3
#def :end
"billto1";"billto2";"billto3";"billto4";"billto5";"billto6";"po_nbr";"po_rev";"po_ord_date";"po_vend";"poship";"vendor1";"vendor2";"vendor3";"vendor4";"vendor5";"vendor6";"shipto1";"shipto2";"shipto3";"shipto4";"shipto5";"shipto6";"vdattn";"po_confirm";"vend_phone";"po_buyer";"po_contact";"po_cr_terms";"po_shipvia";"terms";"po_fob";"po_rmks";"vatreg";"l_tx_misc1";"l_tx_misc2";"l_tx_misc3";"pod_line";"pod_part";"tax_flag";"pod_due_date";"qty_open";"pod_um";"pod_pur_cost";"ext_cost";"po_so_nbr";"pod_sod_line";"pod_rev";"discdesc";"pod_site";"pod_vpart";"pod_type";"mfgr";"mfgr_part";"desc1";"desc2";"pod_wip_lotser";"c-cn-contract";"nontaxable_amt";"taxable_amt";"po_curr";"lines_total";"tax_date";"tax_total";"order_amt";"ship_phone";"ship_fax";"vend_phone";"vend_fax"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401B04";0;08/04/01;"SM015";"PDC";"永盛印刷厂";"大朗镇";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"叶小姐";yes;"0769-83180866";"A00158";"";"M60";"";"月结60天";"";"";"";"";"";"";8;"成形押出点检表";"Y";08/04/10;0;"EA";6;0;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;4395;"CNY";4395;08/04/10;0;4395;"0769-83133077";"0769-83133377";"0769-83180866";"0769-83138288"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401B04";0;08/04/01;"SM015";"PDC";"永盛印刷厂";"大朗镇";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"叶小姐";yes;"0769-83180866";"A00158";"";"M60";"";"月结60天";"";"";"";"";"";"";9;"全检确认票A5";"Y";08/04/10;0;"EA";5;0;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;4395;"CNY";4395;08/04/10;0;4395;"0769-83133077";"0769-83133377";"0769-83180866";"0769-83138288"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C01";0;08/04/01;"SG053";"PDC";"泰仕仪器仪表";"东莞东城";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"陈先生";yes;"13712019120";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"粘尘垫";"Y";08/04/08;3;"EA";450;1350;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;1350;"CNY";1350;08/04/08;0;1350;"0769-83133077";"0769-83133377";"13712019120";""
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C02";0;08/04/01;"SI031";"PDC";"创新文具";"东莞市东城";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"谢先生";yes;"0769-22479145";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"白板 1500*1000MM";"N";08/04/03;1;"EA";240;240;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";290;0;"CNY";290;08/04/03;0;290;"0769-83133077";"0769-83133377";"0769-22479145";"0769-22478540"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C02";0;08/04/01;"SI031";"PDC";"创新文具";"东莞市东城";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"谢先生";yes;"0769-22479145";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";2;"样品袋 7*100";"N";08/04/03;50;"BG";1;50;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";290;0;"CNY";290;08/04/03;0;290;"0769-83133077";"0769-83133377";"0769-22479145";"0769-22478540"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C03";0;08/04/01;"SL183";"PDC";"源昌（源旺）模具五金";"东莞市大朗镇洋坑塘景富路";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"彭先生";yes;"0769-86263283";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"不锈钢双弹合页 6寸";"Y";08/04/04;8;"EA";62;496;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;796;"CNY";796;08/04/04;0;796;"0769-83133077";"0769-83133377";"0769-86263283";"0769-83132599"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C03";0;08/04/01;"SL183";"PDC";"源昌（源旺）模具五金";"东莞市大朗镇洋坑塘景富路";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"彭先生";yes;"0769-86263283";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";2;"三菱空气开关 100A";"Y";08/04/04;1;"EA";270;270;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;796;"CNY";796;08/04/04;0;796;"0769-83133077";"0769-83133377";"0769-86263283";"0769-83132599"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C03";0;08/04/01;"SL183";"PDC";"源昌（源旺）模具五金";"东莞市大朗镇洋坑塘景富路";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"彭先生";yes;"0769-86263283";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";3;"V型密封圈";"Y";08/04/04;3;"M";10;30;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;796;"CNY";796;08/04/04;0;796;"0769-83133077";"0769-83133377";"0769-86263283";"0769-83132599"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C04";0;08/04/01;"SL027";"PDC";"嘉辉五金电器商行";"大朗洋乌";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"姚先生";yes;"0769-83192317";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"皮带 B-2000";"Y";08/04/04;4;"EA";14;56;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;86;"CNY";86;08/04/04;0;86;"0769-83133077";"0769-83133377";"0769-83192317";"0769-83192317"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C04";0;08/04/01;"SL027";"PDC";"嘉辉五金电器商行";"大朗洋乌";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"姚先生";yes;"0769-83192317";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";2;"皮带 A-42";"Y";08/04/04;6;"EA";5;30;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;86;"CNY";86;08/04/04;0;86;"0769-83133077";"0769-83133377";"0769-83192317";"0769-83192317"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C05";0;08/04/01;"SG070";"PDC";"鸿茂量仪";"东莞樟木头";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"马先生";yes;"13924332747";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"环形灯管 8W 220V";"Y";08/04/04;5;"EA";50;250;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;250;"CNY";250;08/04/04;0;250;"0769-83133077";"0769-83133377";"13924332747";"0769-87716202"
"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"80401C06";0;08/04/01;"SP030";"PDC";"泰达自动化";"东莞市红山路怡康花园9-10号";"中国";"";"";"";"东莞保来得粉末冶金有限公司";"东莞市大朗镇洋坑塘";"中国";"";"";"";"刘先生";yes;"0769-22468579";"A00094";"";"M60";"";"月结60天";"";"";"";"";"";"";1;"长拓气缸 MB20*100";"Y";08/04/04;6;"EA";260;1560;"";0;"";"";"PDC";"";"M";"";"";"物料无库存";"";"";"合同: 寄售库存";0;1560;"CNY";1560;08/04/04;0;1560;"0769-83133077";"0769-83133377";"0769-22468579";"0769-22468580"
