#def REPORTPATH=$/QAD Addons/BI Report/xxpcwocr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"加工单";"成本要素代码";"成本要素说明";"期初总成";"期间非领料总成";"期间领料总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28346";"34";"制1其他变动";0;256.64232;0;301.70784;301.70784
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28346";"36";"制2其他变动";0;64.16058;0;75.42696;75.42696
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28346";"41";"制1折旧";0;106.9343;0;125.7116;125.7116
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28360";"34";"制1其他变动";0;205.31388;0;241.36632;241.36632
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28360";"36";"制2其他变动";0;51.32847;0;60.34158;60.34158
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28360";"41";"制1折旧";0;85.54745;0;100.5693;100.5693
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28372";"34";"制1其他变动";0;282.3066;0;331.8786;331.8786
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28372";"36";"制2其他变动";0;70.57665;0;82.96965;82.96965
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28372";"41";"制1折旧";0;117.62775;0;138.28275;138.28275
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28381";"34";"制1其他变动";0;230.97816;0;271.53708;271.53708
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28381";"36";"制2其他变动";0;57.74454;0;67.88427;67.88427
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28381";"41";"制1折旧";0;96.2409;0;113.14045;113.14045
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28394";"34";"制1其他变动";0;205.31388;0;241.36632;241.36632
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28394";"36";"制2其他变动";0;51.32847;0;60.34158;60.34158
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28394";"41";"制1折旧";0;85.54745;0;100.5693;100.5693
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28404";"34";"制1其他变动";0;282.3066;0;331.8786;331.8786
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28404";"36";"制2其他变动";0;70.57665;0;82.96965;82.96965
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28404";"41";"制1折旧";0;117.62775;0;138.28275;138.28275
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28420";"34";"制1其他变动";0;230.97816;0;271.53708;271.53708
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28420";"36";"制2其他变动";0;57.74454;0;67.88427;67.88427
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28420";"41";"制1折旧";0;96.2409;0;113.14045;113.14045
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28460";"34";"制1其他变动";0;51.32844;0;60.34152;60.34152
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28460";"36";"制2其他变动";0;12.83211;0;15.08538;15.08538
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.05.00";"2RS-556色FC/L-部位 ";"28460";"41";"制1折旧";0;21.38685;0;25.1423;25.1423
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28345";"34";"制1其他变动";0;194.55456;0;228.71772;228.71772
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28345";"36";"制2其他变动";0;48.63864;0;57.17943;57.17943
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28345";"41";"制1折旧";0;81.0644;0;95.29905;95.29905
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28359";"34";"制1其他变动";0;162.12876;0;190.59804;190.59804
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28359";"36";"制2其他变动";0;40.53219;0;47.64951;47.64951
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28359";"41";"制1折旧";0;67.55365;0;79.41585;79.41585
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28371";"34";"制1其他变动";0;194.55456;0;228.71772;228.71772
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28371";"36";"制2其他变动";0;48.63864;0;57.17943;57.17943
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28371";"41";"制1折旧";0;81.0644;0;95.29905;95.29905
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28380";"34";"制1其他变动";0;162.12876;0;190.59804;190.59804
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28380";"36";"制2其他变动";0;40.53219;0;47.64951;47.64951
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28380";"41";"制1折旧";0;67.55365;0;79.41585;79.41585
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28393";"34";"制1其他变动";0;162.12876;0;190.59804;190.59804
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28393";"36";"制2其他变动";0;40.53219;0;47.64951;47.64951
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28393";"41";"制1折旧";0;67.55365;0;79.41585;79.41585
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28403";"34";"制1其他变动";0;226.98036;0;266.83728;266.83728
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28403";"36";"制2其他变动";0;56.74509;0;66.70932;66.70932
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28403";"41";"制1折旧";0;94.57515;0;111.1822;111.1822
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28419";"34";"制1其他变动";0;162.12876;0;190.59804;190.59804
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28419";"36";"制2其他变动";0;40.53219;0;47.64951;47.64951
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28419";"41";"制1折旧";0;67.55365;0;79.41585;79.41585
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28458";"34";"制1其他变动";0;32.4258;0;38.11956;38.11956
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"28458";"36";"制2其他变动";0;8.10645;0;9.52989;9.52989
