#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoip
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"子件代码";"子件说明";"领料数量"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.16.07";"81131-STK9-A110-21-0000 2RS-不织布 H35 X L415";-1363
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.22.02";"Z42501-00135-0580-20 2RS-松紧带,W20XL135,556L";-595
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.06.00";"2RS-556色FC/R-部位 ";"8.02.27.02";"Z42101-00050-0580-25 2RS-2号魔术贴";-1298
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"3.02.05.08.00";"2RS-556-牛皮裁片RB/L组合 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"4.02.05.08.01.00";"RBLA00KA--STK9DK01 2RS-556色RB/L-1牛皮裁片";-2
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"4.02.05.08.02.00";"RBLA00KB--STK9DK01 2RS-556色RB/L-2牛皮裁片";-4
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"4.02.05.08.03.00";"RBLA01KC--STK9DK01 2RS-556色RB/L-3牛皮裁片";-2
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"7.A0-RBL.556";"ZQ-S91组合RBL.566 ";-626
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.13.02";"82121-STK7-A010-40-0000 2RS-拉链,520×40,556色";-827
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.13.04";"82121-STK7-A010-41-0000 2RS-拉链,520×40,556色";-826
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-571
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.15.06";"T110000-0000-0600-00 2RS-树脂扣， L=600";-571
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.15.08";"82521-STK7-A010-22-0000 2RS-树脂扣，H25.1 X L320";-702
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.15.09";"T104000-0000-0180-01 2RS-树脂扣，L=180";-702
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.15.10";"82521-STK7-A010-23-0000 2RS-树脂扣，H24 X L60";-708
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.16.03";"82121-STK9-A110-31-0000 2RS-不织布 H30 X L250";-1505
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.16.05";"82521-STK7-A010-33-0001 2RS-不织布 H25 X L310";-689
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.17.03";"T103000-0000-0600-00 2RS-PP板 L=600";-698
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.17.15";"82521-STK7-A010-21-0001 2RS-PP,T2.0 X H65 X L600";-698
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.18.01";"4102351-SFY4-J000 2RS-PP,T1.2 X H34 X L80";-688
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.20.02";"43013D5-S5A4-A000 ISO纽扣 YR164L(棕)";-1713
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"8.02.20.03";"43013D6-S5A4-A100 ISO纽扣 熔着(B)";-2134
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"3.02.05.09.00";"2RS-556-牛皮裁片RB/R组合 ";-600
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"4.02.05.09.01.00";"RBRA00KA--STK9DK01 2RS-556色RB/R-1牛皮裁片";-3
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"4.02.05.09.02.00";"RBRA00KB--STK9DK01 2RS-556色RB/R-2牛皮裁片";-2
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"4.02.05.09.03.00";"RBRA01KC--STK9DK01 2RS-556色RB/R-3牛皮裁片";-3
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"4.02.05.09.04.00";"RBRA00KD--STK9DK01 2RS-556色RB/R-4牛皮裁片";-2
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"7.A0-RBR.556";"ZQ-S91组合RBR.556 ";-600
