#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoiw
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"加工单";"子件代码";"子件说明";"领料数量";"过程加工单"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-227;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-253;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-276;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-293;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-838;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-288;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-580;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.15.07";"T110000-0000-0135-00 2RS-树脂扣， L=135";-1088;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-619;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33756";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-501;""
