#def REPORTPATH=$/QAD Addons/BI Report/xxpcwips
#def :end
年;期;地点;;父零件;;;子零件;;;成本要素;;合计;;;第1次;;
份;间;代码;说明;代码;说明;加工单;代码;说明;用量;代码;说明;领料均成;领料总成;入库总成;领料均成;领料总成;入库总成
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;1;直接材料;5.9872058824;718.464705888;718.464705888;5.9872058824;718.464705888;718.464705888
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;21;制1人工;.1129562185;13.55474622;13.55474622;.1129562185;13.55474622;13.55474622
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;22;品质人工;.0024014706;.288176472;.288176472;.0024014706;.288176472;.288176472
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;23;制2人工;.0891479202;10.697750424;10.697750424;.0891479202;10.697750424;10.697750424
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;24;制1福利费;.0412280042;4.947360504;4.947360504;.0412280042;4.947360504;4.947360504
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;25;品质福利费;.0222365756;2.668389072;2.668389072;.0222365756;2.668389072;2.668389072
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;26;制2福利费;.0048029412;.576352944;.576352944;.0048029412;.576352944;.576352944
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;34;制1其他变动;.0617887185;7.41464622;7.41464622;.0617887185;7.41464622;7.41464622
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;35;品质其他变动;.1656547059;19.878564708;19.878564708;.1656547059;19.878564708;19.878564708
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;36;制2其他变动;.0478766387;5.745196644;5.745196644;.0478766387;5.745196644;5.745196644
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;41;制1折旧;.3077053782;36.924645384;36.924645384;.3077053782;36.924645384;36.924645384
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;42;品质折旧;.0289219958;3.470639496;3.470639496;.0289219958;3.470639496;3.470639496
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;43;制2折旧;.1996027311;23.952327732;23.952327732;.1996027311;23.952327732;23.952327732
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;7.A1-FBL.556;ZQ-S91组合FBL.556 ;120;44;制1其他固定;.163764958;19.65179496;19.65179496;.163764958;19.65179496;19.65179496
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.14.03;81521-STK9-A000-KW-0001 2RS-3号力布，L，JH;120;1;直接材料;5.5999858307;671.998299684;671.998299684;5.5999858307;671.998299684;671.998299684
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.14.04;81521-STK9-A000-KX-0001 2RS-4号力布，L JG;120;1;直接材料;5.2879337094;634.552045128;634.552045128;5.2879337094;634.552045128;634.552045128
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.15.01;T104000-0000-0035-01 2RS-树脂扣，L=35;360;1;直接材料;.1439795683;51.832644588;51.832644588;.1439795683;51.832644588;51.832644588
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.15.02;T104000-0000-0025-01 2RS-树脂扣，L=25;720;1;直接材料;.1286276892;92.611936224;92.611936224;.1286276892;92.611936224;92.611936224
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.15.03;T104000-0000-0130-01 2RS-树脂扣，L=130;120;1;直接材料;.2269149369;27.229792428;27.229792428;.2269149369;27.229792428;27.229792428
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.15.04;81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90;240;1;直接材料;.3286930984;78.886343616;78.886343616;.3286930984;78.886343616;78.886343616
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.16.01;81121-STK9-A110-22-0000 2RS-不织布 H30 X L240;240;1;直接材料;.5001807734;120.043385616;120.043385616;.5001807734;120.043385616;120.043385616
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.16.02;81121-STK9-A110-21-0000 2RS-不织布 H30 X L545;240;1;直接材料;.9681559134;232.357419216;232.357419216;.9681559134;232.357419216;232.357419216
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.23.02;4102398-S870-A802 2RS-2号商标，NH556L;120;1;直接材料;.97967;117.5604;117.5604;.97967;117.5604;117.5604
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28358;8.02.27.01;Z42101-00040-0580-25 2RS-1号魔术贴;240;1;直接材料;.2107844486;50.588267664;50.588267664;.2107844486;50.588267664;50.588267664
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;1;直接材料;33.9983333333;1019.949999999;1019.949999999;33.9983333333;1019.949999999;1019.949999999
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;21;制1人工;1.244707;37.34121;37.34121;1.244707;37.34121;37.34121
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;22;品质人工;.0264627368;.793882104;.793882104;.0264627368;.793882104;.793882104
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;23;制2人工;.9823543509;29.470630527;29.470630527;.9823543509;29.470630527;29.470630527
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;24;制1福利费;.454306807;13.62920421;13.62920421;.454306807;13.62920421;13.62920421
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;25;品质福利费;.2450330877;7.350992631;7.350992631;.2450330877;7.350992631;7.350992631
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;26;制2福利费;.0529254737;1.587764211;1.587764211;.0529254737;1.587764211;1.587764211
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;34;制1其他变动;.2830270175;8.490810525;8.490810525;.2830270175;8.490810525;8.490810525
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;35;品质其他变动;.7587916667;22.763750001;22.763750001;.7587916667;22.763750001;22.763750001
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;36;制2其他变动;.2193019123;6.579057369;6.579057369;.2193019123;6.579057369;6.579057369
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;41;制1折旧;1.4094634912;42.283904736;42.283904736;1.4094634912;42.283904736;42.283904736
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;42;品质折旧;.132479;3.97437;3.97437;.132479;3.97437;3.97437
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;43;制2折旧;.9142926491;27.428779473;27.428779473;.9142926491;27.428779473;27.428779473
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;3.02.05.02.00;2RS-556-牛皮裁片FB/L组合 ;30;44;制1其他固定;.7501354737;22.504064211;22.504064211;.7501354737;22.504064211;22.504064211
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;1;直接材料;5.9872058824;179.616176472;179.616176472;5.9872058824;179.616176472;179.616176472
2009;6;1000;宁波提爱思(加工区）;2.02.05.02.00;2RS-556色FB/L-部位 ;28368;7.A1-FBL.556;ZQ-S91组合FBL.556 ;30;21;制1人工;.1129562185;3.388686555;3.388686555;.1129562185;3.388686555;3.388686555
