#def REPORTPATH=$/QAD Addons/BI Report/xxpcincr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"成本要素代码";"成本要素说明";"期初总成";"期间非入库总成";"期间入库总成";"期间一次加权平均成本";"期末总成"
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"36";"制2其他变动";377.27269;0;48687.0012;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"41";"制1折旧";2424.7489;0;81145.002;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"42";"品质折旧";227.90822;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"43";"制2折旧";1572.88932;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.08.00";"2RS-556色RB/L-部位 ";"44";"制1其他固定";1290.48407;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"1";"直接材料";49682.77;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"21";"制1人工";600.13905;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"22";"品质人工";12.75908;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"23";"制2人工";473.64497;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"24";"制1福利费";219.04533;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"25";"品质福利费";118.14341;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"26";"制2福利费";25.51817;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"34";"制1其他变动";404.05252;0;146787.1056;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"35";"品质其他变动";1083.2594;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"36";"制2其他变动";313.07784;0;36696.7764;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"41";"制1折旧";2012.16571;0;61161.294;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"42";"品质折旧";189.12849;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"43";"制2折旧";1305.25431;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.09.00";"2RS-556色RB/R-部位 ";"44";"制1其他固定";1070.90173;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"1";"直接材料";54720.23;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"21";"制1人工";660.98737;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"22";"品质人工";14.05273;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"23";"制2人工";521.66801;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"24";"制1福利费";241.25442;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"25";"品质福利费";130.12201;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"26";"制2福利费";28.10546;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"34";"制1其他变动";445.02072;0;122655.84696;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"35";"品质其他变动";1193.0946;0;0;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"36";"制2其他变动";344.82183;0;30663.96174;0;0
2009;6;"1000";"宁波提爱思(加工区）";"2.02.05.11.00";"2RS-556色RC/L-部位 ";"41";"制1折旧";2216.18575;0;51106.6029;0;0
