#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"成本要素代码";"成本要素说明";"总成";"均成"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"34";"制1其他变动";-1531.23581304;5.1041193768
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"35";"品质其他变动";-1928.66860827;6.4288953609
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"36";"制2其他变动";-566.69322483;1.8889774161
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"41";"制1折旧";-5496.66772008;18.3222257336
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"42";"品质折旧";-375.01951698;1.2500650566
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"43";"制2折旧";-2095.81262337;6.9860420779
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-SO";-300;0;-300;"44";"制1其他固定";-6129.21160725;20.4307053575
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"1";"直接材料";-201702.0444974513;223.8646442813
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"11";"材料价格差异";-5934.760443738;6.586859538
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"21";"制1人工";-4191.581020497;4.652143197
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"22";"品质人工";-310.8902582211;.3450502311
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"23";"制2人工";-1991.1499593422;2.2099333622
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"24";"制1福利费";-2337.0888008618;2.5938832418
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"25";"品质福利费";-666.1816573278;.7393803078
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"26";"制2福利费";-111.6753888876;.1239460476
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"34";"制1其他变动";-4598.8115584968;5.1041193768
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"35";"品质其他变动";-5792.4347201709;6.4288953609
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"36";"制2其他变动";-1701.9686519061;1.8889774161
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"41";"制1折旧";-16508.3253859736;18.3222257336
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"42";"品质折旧";-1126.3086159966;1.2500650566
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"43";"制2折旧";-6294.4239121879;6.9860420779
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"ISS-TR";-901;0;-901;"44";"制1其他固定";-18408.0655271075;20.4307053575
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"1";"直接材料";201702.0444974513;223.8646442813
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"11";"材料价格差异";5934.760443738;6.586859538
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"21";"制1人工";4191.581020497;4.652143197
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"22";"品质人工";310.8902582211;.3450502311
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"23";"制2人工";1991.1499593422;2.2099333622
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"24";"制1福利费";2337.0888008618;2.5938832418
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"25";"品质福利费";666.1816573278;.7393803078
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"26";"制2福利费";111.6753888876;.1239460476
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"34";"制1其他变动";4598.8115584968;5.1041193768
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"35";"品质其他变动";5792.4347201709;6.4288953609
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"36";"制2其他变动";1701.9686519061;1.8889774161
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"41";"制1折旧";16508.3253859736;18.3222257336
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"42";"品质折旧";1126.3086159966;1.2500650566
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"43";"制2折旧";6294.4239121879;6.9860420779
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-TR";901;0;901;"44";"制1其他固定";18408.0655271075;20.4307053575
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"1";"直接材料";114587.4029549536;193.2333945277
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.03.00";"2RS-556色FB/R-部位 ";"RCT-WO";593;0;593;"11";"材料价格差异";5407.8116806577;9.1194126149
