item no,desc,work center,line locator,min,order qty,max
SIC67002,"IC,EM4150VC,RFID CNTRL,1",,F9A-F9-4-2,2,1000,4
3IS039,1.25~ NO.6 SELF TAPPING,,F9B-F6-1-4B,2,2000,4
4LB197,"MECHMISC,LABEL INNER VIP",,F9B-F6-2-3A,1,2048,2
4LB197,"MECHMISC,LABEL INNER VIP",,F9B-F6-2-3A,1,2048,2
4LB190,"MECHMISC,LABEL INNER EUR",,F9B-F6-2-3B,1,600,2
4LB198,"MISC,VIPER GL LABEL",,F9B-F6-2-4B,1,1000,2
CZ-3IS034,"MECHMISC,SPRING,ANTI-TMP",,F9B-F6-3-1A,1,1000,2
CZ-3IS035,"FSTNR,SCR,/4X19MM,PLASTI",,F9B-F6-3-2B,1,3000,2
CZ-FA2-1000,"MISC,1A 20MM ANTI SURGE",,F9B-F6-3-3A,4,4000,8
CZ-FA2-1600,1.6A ANTISURGE FUSE - 20,,F9B-F6-3-4B,2,2000,4
2PR249,"RES,RESISTOR 4K7 0.125W",,F9B-F6-3-5A,1,1000,2
CZ-LC1-2115,"LABEL,NEWLEC,LED 8 ZONE",,F9B-F6-4-2B,1,1000,2
CZ-LC1-2117,"LABEL,NEWLEC,LCD REMOTE",,F9B-F6-4-3B,250,500,
CZ-LS0-2117,"LABEL,BARCODE,NEWLEC NL2",,F9B-F6-4-5A,1,1000,2
CZ-MS1-9504,"FSTNR,SCREW,THREAD-FORMI",,F9B-F6-5-5B,1,2000,2
CZ-PH1-0211,"CONN,2 WAY SHORTING LINK",,F9B-F6-6-1B,1,2000,2
A009546,RECESSED.FILLISTER-HEAD-,,F9C-E10-1-5B,1,500,2
A100158,SPRING-CLIP.FOR.MIRROR-D,,F9C-E10-3-5B,1,5000,2
A014315,"FSTNR,PT.FILLISTER-HEAD-",,F9C-E6-2-2A,1,4000,2
A200263,FASTENER-SEAL.GREY-WHITE,,F9C-E6-2-5B,2,1000,4
A301688,"BADGE.RD,BK.14,85X42MM.C",,F9C-E6-3-2A,1,1000,2
A301758,"BADGE.RD,BK.14,85X42MM.C",,F9C-E6-4-1B,1,206,2
TR421212,"RES,LF,12K1,1%,0.5W,META",,F9C-E6-4-4A,2,10000,4
TLD19011,"LED-GEN,RD,660NM,1200MCD",,F9C-E6-4-5A,1,1000,2
A302350,"BADGE.WH,BK.35X37.125MM.",,F9C-E9-1-2A,1,1000,2
MPR06236.21,"LABEL,VIEWGUARD,PIS,BUS2",,F9C-E9-4-5A,1,780,2
MPR06345,"LABEL,PIEZO.INDOOR.SIREN",,F9C-E9-6-1B,1,500,2
A067550,ROUND-SPACER.R6X1X17MM M,,F9D-F5-2-1B,1,1000,2
A421525,"FSTNR,INSULATING BUSHING",,F9D-F5-2-2B,1,1000,2
A573937,"ISULATING TUBE.BLACK D2,",,F9D-F5-2-3A,1,1000,2
A340127,HEATSINK.MOUNTINGCLIP.FO,,F9D-F5-3-1B,1,500,2
A340131,HEATSINK.MOUNTINGCLIP.MA,,F9D-F5-3-2B,1,1000,2
A060010,"DISTANCE-BOLT.D6X38,8MM.",,F9D-F5-4-2A,1,2000,2
4373-137,"ACTUATOR,SW,SPNO PCB MEC",,F9D-F7-1-4B,1,1000,2
A009877,RECESSED.FILLISTER-HEAD-,,F9D-F7-1-5A,1,1000,2
TFS04014,"FUSE,LF,TIME-LAG,5A,250V",,F9D-F7-2-4B,1,1000,2
A022149,THREAD-INSERT.SONICLOK.L,,F9F-F8-1-4B,1,5000,2
A100183,"MECHPP,PLATE,REINFORCEME",,F9F-F8-1-5A,1,1000,2
TS600001,"ACTUATOR,REED SW,NO,10-2",,F9F-F8-5-2B,1,1000,2
TS600007,"ACTUATOR,REED SW,NO,17-2",,F9F-F8-5-3B,1,1000,2
CZ-RM4-3021,"RES,3K MF RES 1/4W 1PCNT",,FB1-D7-1-2,4,20000,8
CZ-RM4-1231,"RES,12K MF RES 1/4W 1PCN",,FB1-D7-2-1,4,20000,8
CZ-FT1-0003,20MM FUSED TERM BLOCK 3,,FB1-D7-2-3,1,500,2
CZ-WB3-0003,"CBL&WIR,16/0.2 BATT LEA",,FB1-D7-3-1,50,1000,100
CZ-WB3-0004,"CBL&WIR,16/0.2 BATTERY L",,FB1-D7-3-2,25,2500,50
CZ-MT1-0030,"FSTNR,M3 SHAKEPRF WSHR B",,FB1-D8-3-5B,1,3000,2
CZ-JS1-0810,"PKGNG,STATIC SHIELDING B",,FB1-D8-5-1A,5,1000,10
CZ-WM2-0011,WIRE 120MM 7/0.2 GREEN,,FB1-D8-5-1B,5,1000,10
CZ-LP1-1606,"MECHMISC,G16/16PL MK7 KP",,FB3-D9-1-3A,20,640,40
700-03069-01,"LABEL,EN COMPLIANCE CP03",,FB3-D9-2-2B,1,1000,2
700-03132,"LABEL,MARK 7 KEYPAD",,FB3-D9-2-4B,1,3000,2
800-07983,GALAXY MK7 POWER STICKER,,FB3-D9-3-2B,1,5000,2
CZ-LQ1-1816,LABEL FOR MK7,,FB3-D9-3-3A,1,1000,2
CZ-MS1-0001,"FSTNR,~SCREW 6X3/4 """"A""""",,FB3-D9-4-4A,1,1000,2
CZ-MS1-0002,"FSTNR,SCREW PLT-60 /2X1/",,FB3-D9-4-5A,1,5000,2
CZ-LP1-0037,"MECHMISC,MK7 VE KEYPAD L",,FB3-D9-5-4B,1,2000,2
CZ-JP4-0302,"PKGNG,2.25X3 PLASTIC BAG",,FB4-C9-1-2B,3,600,6
700-00925,"WALLPLUG,6-8 GAUGE,POLYT",,FB4-C9-1-3A,1,3000,2
CZ-JP4-0403,3.5X4.5 PLASTIC BAG CLIP,,FB4-C9-1-3B,3,600,6
700-00991,"SCREW,LF,PT TYPE,SELF TA",,FB4-C9-1-5A,2,6000,4
800-01502,"LABEL,GALAXY DCM",,FB4-C9-2-4A,1,1000,2
800-07656,"LBL,DCM,WHITE LITHO STOC",,FB4-C9-4-5A,1,1000,2
800-11868,"LABEL,PRODUCT PART NUMBE",,FB4-C9-5-4A,1,1000,2
AD-K14343,"LABEL,MISCELLANEOUS, .37",,FB4-C9-6-2A,1,12000,2
AD-K3872,"BAG,PLASTIC,3X3X.003",,FB4-C9-6-3A,2,200,4
AD-70Z052700A,VIS CBLZ ST 2.9-6.5C AC,,FD1-G1-2-2A,1,5000,2
5-512-389-00,"GROUND STRAP,PYRO",,FD1-G1-2-3A,1,3000,2
5-532-492-01,"MASK,MIRROR,NEOPRENE",,FD1-G1-3-1,1,2500,2
71Z00640,"MECHPP,LIGHT PIPE IRPI 8",,FD1-G1-3-2,1,1250,2
5-535-019-00,"FOAM,BUG GUARD",,FD1-G1-3-3,1,1000,2
5-743-050-01,"SWITCH,SPST,TACTILE,24V,",,FD1-G1-4-1,1,1500,2
CZ-JP4-0403,3.5X4.5 PLASTIC BAG CLIP,,FE1-B7-4-1,3,600,6
5-031-008-00,"PLASTIC BAG,2"" X 3""",,FE3-B9-1-1B,1,5000,2
40Z003000A,SEALING LABEL DIAM. 30MM,,FE3-B9-1-1C,1,2600,2
700-02809,"MECH,MISC,PIR CONDUCTIVE",,FE3-B9-1-3B,1,1000,2
700-01695,"SCREW,ECO-SYN,CBLX,2,2-1",,FE3-B9-1-3C,2,2000,4
700-02937,"PULL-TAB,3X DBL A BATTER",,FE3-B9-2-2C,2,1000,4
5-040-629-01,"LABEL,PULL-TAB,DUAL CR123",,FE3-B9-3-3A,2,1000,4
700-03318,"SCREW,SNAKE-EYES,STEEL,Z",,FE3-B9-4-3A,1,2000,2
300-06181,"THERMISTOR,LF,NTC,10KOHM",,FE3-B9-4-3C,5,500,10
99Z00020,"PLASTIC BAG,SACHET 180X2",,FE3-B9-5,2,2000,4
AD-K3376-3,"DETECTOR,PYROELECTRIC",,FE3-G2-3,3,3000,6
