
工单号             工单标志   工序 项目号                   订购数       合格数       报废数
G0902A00106-11     770877        1 32-4855-21-00-R05          19.0         19.0          0.0
G0902A00106-11     770877        5 32-4855-21-00-R05          19.0          0.0          0.0
G0902A00106-11     770876       10 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       15 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       20 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       25 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       32 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       33 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       40 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       45 32-485521                  20.0          0.0          0.0
G0902A00106-11     770876       50 32-485521                  20.0          0.0          0.0
G0902A00120-11     771079        5 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       15 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       20 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       25 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       30 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       35 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       40 32-485034                   7.0          0.0          0.0
G0902A00120-11     771079       45 32-485034                   7.0          0.0          0.0
G0902A00134-11     774906        5 US402642-R05               26.0         23.0          0.0
G0902A00134-11     774902       15 US402642                   23.0         23.0          0.0
G0902A00134-11     774902       20 US402642                   23.0         23.0          0.0
G0902A00134-11     774902       23 US402642                   23.0         23.0          0.0
G0902A00134-11     774902       25 US402642                   23.0         23.0          0.0
G0902A00134-11     774902       30 US402642                   23.0         23.0          0.0
G0902A00134-11     774902       35 US402642                   23.0          0.0          0.0
G0902A00134-11     774902       40 US402642                   23.0          0.0          0.0
G0902A00140-11     774925       10 32-420332-6-R05             9.0          9.0          0.0
G0902A00140-11     774925       15 32-420332-6-R05             9.0          0.0          0.0
G0902A00140-11     774924       20 32-420332-6-R20             9.0          0.0          0.0
G0902A00140-11     774923       35 32-420332-6                 9.0          0.0          0.0
G0902A00140-11     774923       40 32-420332-6                 9.0          0.0          0.0
G0902A00140-11     774923       50 32-420332-6                 9.0          0.0          0.0
G0902A00140-11     774923       55 32-420332-6                 9.0          0.0          0.0
G0902A00140-11     774923       60 32-420332-6                 9.0          0.0          0.0
G0902A00140-11     774923       65 32-420332-6                 9.0          0.0          0.0
G0902A00141-11     774926       10 32-420540                  36.0         36.0          0.0
G0902A00141-11     774926       15 32-420540                  36.0         36.0          0.0
G0902A00141-11     774926       16 32-420540                  36.0         36.0          0.0
G0902A00141-11     774926       17 32-420540                  36.0         36.0          0.0
G0902A00141-11     774926       20 32-420540                  36.0         36.0          0.0
G0902A00141-11     774926       25 32-420540                  36.0         36.0          0.0
G0902A00141-11     774926       30 32-420540                  36.0          0.0          0.0
G0902A00141-11     774926       35 32-420540                  36.0          0.0          0.0
G0902A00143-11     774929        5 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       10 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       11 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       12 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       13 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       15 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       20 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       22 32-485016                  29.0         29.0          0.0
G0902A00143-11     774929       25 32-485016                  29.0         29.0          0.0
G0902A00148-11     775009        5 RD-2150-50-09-R05          30.0         30.0          0.0
G0902A00148-11     775008       10 RD-2150-50-09-R10          30.0         30.0          0.0
G0902A00148-11     775007       15 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       18 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       20 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       22 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       23 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       25 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       30 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       35 RD-2150-50-09              30.0         30.0          0.0
G0902A00148-11     775007       40 RD-2150-50-09              30.0         30.0          0.0
G0902A00150-11     805309        7 US32-4201-26-02            34.0         34.0          0.0
G0902A00150-11     805309       15 US32-4201-26-02            34.0         34.0          0.0
G0902A00150-11     805309       20 US32-4201-26-02            34.0         34.0          0.0
G0902A00150-11     805309       25 US32-4201-26-02            34.0         34.0          0.0
G0902A00150-11     805309       30 US32-4201-26-02            34.0          0.0          0.0
G0902A00150-11     775013        5 US32-4201-26-02            34.0          0.0          0.0
G0902A00161-11     777310        5 RD-2150-50-09-R05          28.0         28.0          0.0
G0902A00161-11     777309       10 RD-2150-50-09-R10          28.0         28.0          0.0
G0902A00161-11     777308       10 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       15 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       18 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       20 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       22 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       23 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       25 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       30 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       35 RD-2150-50-09              28.0         28.0          0.0
G0902A00161-11     777308       40 RD-2150-50-09              28.0         28.0          0.0
G0902A00164-11     777478        5 31-111136-R05               8.0          8.0          0.0
G0902A00164-11     777478        6 31-111136-R05               8.0          8.0          0.0
G0902A00164-11     777477        8 31-111136-R10               8.0          8.0          0.0
G0902A00164-11     777476       15 31-111136                   8.0          7.0          1.0
G0902A00164-11     777476       25 31-111136                   7.0          7.0          0.0
G0902A00164-11     777476       30 31-111136                   7.0          0.0          0.0
G0902A00164-11     777476       35 31-111136                   7.0          0.0          0.0
G0902A00164-11     777476       40 31-111136                   7.0          0.0          0.0
G0902A00167-11     778071        5 US31-111136-R05            26.0          0.0          0.0
G0902A00167-11     778070        6 US31-111136-R07            26.0          0.0          0.0
G0902A00167-11     778069        8 US31-111136-R10            26.0          0.0          0.0
G0902A00167-11     778068       15 US31-111136                26.0          0.0          0.0
G0902A00167-11     778068       25 US31-111136                26.0          0.0          0.0
G0902A00167-11     778068       30 US31-111136                26.0          0.0          0.0
G0902A00167-11     778068       35 US31-111136                26.0          0.0          0.0
G0902A00167-11     778068       40 US31-111136                26.0          0.0          0.0
G0902A00180-11     782437        5 32-420139-R05               8.0          8.0          0.0
G0902A00180-11     782436        8 32-420139-R08               8.0          8.0          0.0
G0902A00180-11     782435       10 32-420139-R10               8.0          8.0          0.0
G0902A00180-11     782434       25 32-420139-R12               8.0          8.0          0.0
G0902A00180-11     782433       15 32-420139-R15               8.0          8.0          0.0
G0902A00180-11     782432       37 32-420139                   8.0          0.0          0.0
G0902A00180-11     782432       40 32-420139                   8.0          0.0          0.0
G0902A00180-11     782432       45 32-420139                   8.0          0.0          0.0
G0902A00180-11     782432       50 32-420139                   8.0          0.0          0.0
G0902A00180-11     782432       55 32-420139                   8.0          0.0          0.0
G0902A00183-11     782457       10 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       12 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       15 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       20 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       25 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       30 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       35 32-487035                  44.0         44.0          0.0
G0902A00183-11     782457       40 32-487035                  44.0          0.0          0.0
G0902A00183-11     782457       45 32-487035                  44.0          0.0          0.0
