#def REPORTPATH=$/QAD Addons/BI Report/xxpcinbt
#def :end
"地点";"库位";"零件";"批序号";"参考号";"标准系统数量";"期间成本数量";"数量差异"
"1000";"";"4.03.01.99.02";"";"";2084;2084;0
"1000";"";"4.03.01.99.03";"";"";1969;1969;0
"1000";"";"4.03.01.99.04";"";"";1967;1967;0
"1000";"";"4.03.01.99.05";"";"";1990;1990;0
"1000";"";"4.04.01.02.01.00";"";"";55;55;0
"1000";"";"4.04.01.02.02.00";"";"";78;78;0
"1000";"";"4.04.01.02.03.00";"";"";70;70;0
"1000";"";"4.04.01.02.04.00";"";"";68;68;0
"1000";"";"4.04.01.02.05.00";"";"";40;40;0
"1000";"";"4.04.01.02.06.00";"";"";29;29;0
"1000";"";"4.04.01.02.07.00";"";"";39;39;0
"1000";"";"4.04.01.02.08.00";"";"";27;27;0
"1000";"";"4.04.01.03.01.00";"";"";55;55;0
"1000";"";"4.04.01.03.02.00";"";"";78;78;0
"1000";"";"4.04.01.03.03.00";"";"";70;70;0
"1000";"";"4.04.01.03.04.00";"";"";68;68;0
"1000";"";"4.04.01.03.05.00";"";"";32;32;0
"1000";"";"4.04.01.03.06.00";"";"";30;30;0
"1000";"";"4.04.01.03.07.00";"";"";36;36;0
"1000";"";"4.04.01.03.08.00";"";"";26;26;0
"1000";"";"4.04.01.05.01.00";"";"";28;28;0
"1000";"";"4.04.01.05.02.00";"";"";78;78;0
"1000";"";"4.04.01.05.03.00";"";"";63;63;0
"1000";"";"4.04.01.05.04.00";"";"";39;39;0
"1000";"";"4.04.01.05.05.00";"";"";41;41;0
"1000";"";"4.04.01.05.06.00";"";"";32;32;0
"1000";"";"4.04.01.06.01.00";"";"";37;37;0
"1000";"";"4.04.01.06.02.00";"";"";78;78;0
"1000";"";"4.04.01.06.03.00";"";"";63;63;0
"1000";"";"4.04.01.06.04.00";"";"";35;35;0
"1000";"";"4.04.01.06.05.00";"";"";61;61;0
"1000";"";"4.04.01.06.06.00";"";"";36;36;0
"1000";"";"4.04.01.08.01.00";"";"";37;37;0
"1000";"";"4.04.01.08.02.00";"";"";39;39;0
"1000";"";"4.04.01.08.03.00";"";"";36;36;0
"1000";"";"4.04.01.08.04.00";"";"";32;32;0
"1000";"";"4.04.01.08.05.00";"";"";32;32;0
"1000";"";"4.04.01.09.01.00";"";"";36;36;0
"1000";"";"4.04.01.09.02.00";"";"";36;36;0
"1000";"";"4.04.01.09.03.00";"";"";31;31;0
"1000";"";"4.04.01.09.04.00";"";"";37;37;0
"1000";"";"4.04.01.09.05.00";"";"";32;32;0
"1000";"";"4.04.01.11.01.00";"";"";32;32;0
"1000";"";"4.04.01.11.02.00";"";"";37;37;0
"1000";"";"4.04.01.11.03.00";"";"";36;36;0
"1000";"";"4.04.01.11.04.00";"";"";39;39;0
"1000";"";"4.04.01.11.05.00";"";"";38;38;0
"1000";"";"4.04.01.12.01.00";"";"";37;37;0
"1000";"";"4.04.01.12.02.00";"";"";39;39;0
"1000";"";"4.04.01.12.03.00";"";"";32;32;0
"1000";"";"4.04.01.12.04.00";"";"";39;39;0
"1000";"";"4.04.01.12.05.00";"";"";40;40;0
"1000";"";"4.04.01.12.06.00";"";"";37;37;0
"1000";"";"4.04.01.12.07.00";"";"";34;34;0
"1000";"";"4.04.01.17.01.00";"";"";37;37;0
"1000";"";"4.04.01.17.02.00";"";"";33;33;0
"1000";"";"4.04.01.21.01.00";"";"";43;43;0
"1000";"";"4.04.02.02.01.00";"";"";30;30;0
"1000";"";"4.04.02.02.02.00";"";"";75;75;0
"1000";"";"4.04.02.02.03.00";"";"";59;59;0
"1000";"";"4.04.02.02.04.00";"";"";62;62;0
"1000";"";"4.04.02.02.05.00";"";"";39;39;0
"1000";"";"4.04.02.02.06.00";"";"";38;38;0
"1000";"";"4.04.02.02.07.00";"";"";29;29;0
"1000";"";"4.04.02.02.08.00";"";"";29;29;0
"1000";"";"4.04.02.03.01.00";"";"";30;30;0
"1000";"";"4.04.02.03.02.00";"";"";75;75;0
"1000";"";"4.04.02.03.04.00";"";"";62;62;0
"1000";"";"4.04.02.03.05.00";"";"";30;30;0
"1000";"";"4.04.02.03.06.00";"";"";36;36;0
"1000";"";"4.04.02.03.07.00";"";"";26;26;0
"1000";"";"4.04.02.03.08.00";"";"";25;25;0
"1000";"";"4.04.02.05.01.00";"";"";33;33;0
"1000";"";"4.04.02.05.02.00";"";"";73;73;0
"1000";"";"4.04.02.05.03.00";"";"";70;70;0
"1000";"";"4.04.02.05.04.00";"";"";33;33;0
"1000";"";"4.04.02.05.05.00";"";"";33;33;0
"1000";"";"4.04.02.05.06.00";"";"";2;2;0
"1000";"";"4.04.02.06.01.00";"";"";20;20;0
"1000";"";"4.04.02.06.02.00";"";"";73;73;0
"1000";"";"4.04.02.06.03.00";"";"";70;70;0
"1000";"";"4.04.02.06.04.00";"";"";34;34;0
"1000";"";"4.04.02.06.05.00";"";"";38;38;0
"1000";"";"4.04.02.06.06.00";"";"";38;38;0
"1000";"";"4.04.02.08.01.00";"";"";26;26;0
"1000";"";"4.04.02.08.02.00";"";"";42;42;0
"1000";"";"4.04.02.08.03.00";"";"";34;34;0
"1000";"";"4.04.02.08.04.00";"";"";38;38;0
"1000";"";"4.04.02.08.05.00";"";"";32;32;0
"1000";"";"4.04.02.09.01.00";"";"";34;34;0
"1000";"";"4.04.02.09.02.00";"";"";27;27;0
"1000";"";"4.04.02.09.03.00";"";"";30;30;0
"1000";"";"4.04.02.09.04.00";"";"";34;34;0
"1000";"";"4.04.02.09.05.00";"";"";30;30;0
"1000";"";"4.04.02.11.01.00";"";"";20;20;0
"1000";"";"4.04.02.11.02.00";"";"";37;37;0
"1000";"";"4.04.02.11.03.00";"";"";34;34;0
"1000";"";"4.04.02.11.04.00";"";"";38;38;0
"1000";"";"4.04.02.11.05.00";"";"";37;37;0
"1000";"";"4.04.02.12.01.00";"";"";36;36;0
"1000";"";"4.04.02.12.02.00";"";"";40;40;0
"1000";"";"4.04.02.12.03.00";"";"";37;37;0
"1000";"";"4.04.02.12.04.00";"";"";36;36;0
"1000";"";"4.04.02.12.05.00";"";"";38;38;0
"1000";"";"4.04.02.12.06.00";"";"";29;29;0
"1000";"";"4.04.02.12.07.00";"";"";31;31;0
"1000";"";"4.04.02.17.02.00";"";"";28;28;0
"1000";"";"4.04.02.21.01.00";"";"";18;18;0
"1000";"";"4.05.01.08.01.00";"";"";46;46;0
"1000";"";"4.05.01.08.02.00";"";"";46;46;0
"1000";"";"4.05.01.08.03.00";"";"";23;23;0
"1000";"";"4.05.01.08.04.00";"";"";23;23;0
"1000";"";"4.05.01.08.05.00";"";"";23;23;0
"1000";"";"4.05.01.09.03.00";"";"";23;23;0
"1000";"";"4.05.01.09.04.00";"";"";23;23;0
"1000";"";"4.05.01.09.05.00";"";"";23;23;0
"1000";"";"4.05.01.11.01.00";"";"";23;23;0
"1000";"";"4.05.01.11.02.00";"";"";23;23;0
"1000";"";"4.05.01.11.03.00";"";"";23;23;0
