#def REPORTPATH=$/QAD Addons/BI Report/xxpctrrr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"标准系统数量";"数量差异"
2009;9;"1000";"宁波提爱思(加工区）";"8.03.15.47";"T117000-0000-0240-00 树脂钩扣 H21 X L240";"RCT-PO";3000;0;3000;3000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.15.47";"T117000-0000-0240-00 树脂钩扣 H21 X L240";"RCT-TR";8366;0;8366;8366;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.15.48";"81131-SWA7-A010-24-0000 树脂T1.2 X H22 X L38";"ISS-TR";-7491;0;-7491;-7491;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.15.48";"81131-SWA7-A010-24-0000 树脂T1.2 X H22 X L38";"ISS-WO";-3080;0;-3080;-3080;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.15.48";"81131-SWA7-A010-24-0000 树脂T1.2 X H22 X L38";"RCT-PO";4500;0;4500;4500;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.15.48";"81131-SWA7-A010-24-0000 树脂T1.2 X H22 X L38";"RCT-TR";7491;0;7491;7491;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.01";"81121-SWA7-A010-31-0000 不织布H25 X L295";"ISS-TR";-11386;0;-11386;-11386;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.01";"81121-SWA7-A010-31-0000 不织布H25 X L295";"ISS-WO";-4410;0;-4410;-4410;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.01";"81121-SWA7-A010-31-0000 不织布H25 X L295";"RCT-PO";4000;0;4000;4000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.01";"81121-SWA7-A010-31-0000 不织布H25 X L295";"RCT-TR";11386;0;11386;11386;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.02";"81121-SWA7-A010-32-0000 不织布 H25 X L285";"ISS-TR";-12014;0;-12014;-12014;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.02";"81121-SWA7-A010-32-0000 不织布 H25 X L285";"ISS-WO";-4410;0;-4410;-4410;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.02";"81121-SWA7-A010-32-0000 不织布 H25 X L285";"RCT-PO";4000;0;4000;4000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.02";"81121-SWA7-A010-32-0000 不织布 H25 X L285";"RCT-TR";12014;0;12014;12014;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.03";"81121-SWA7-A010-33-0000 不织布 H25 X L530";"ISS-TR";-20156;0;-20156;-20156;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.03";"81121-SWA7-A010-33-0000 不织布 H25 X L530";"ISS-WO";-8820;0;-8820;-8820;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.03";"81121-SWA7-A010-33-0000 不织布 H25 X L530";"RCT-PO";8000;0;8000;8000;0
2009;9;"1000";"宁波提爱思(加工区）";"8.03.16.03";"81121-SWA7-A010-33-0000 不织布 H25 X L530";"RCT-TR";20156;0;20156;20156;0
