#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcz
#def :end
2009;10;¼þ;¼þ;ÆÚ³õ;;;Ôö¼ÓºÏ¼Æ;;;ISS-UNP;;;RCT-PO;;;RCT-TR;;;RCT-WO;;;¼õÉÙºÏ¼Æ;;;ISS-PRV;;;ISS-SO;;;ISS-TR;;;ISS-UNP;;;ISS-WO;;;RCT-PO;;;ÆÚÄ©;;
2009;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009;10;ºÅ;Ãû;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É;ÊýÁ¿;¾ù³É;×Ü³É
2009;10;2.08.02.05.00; ;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;0;0
2009;10;2.08.02.06.00; ;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;202;0;0
2009;10;2.14.12.02.00; ;80;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;320;0;0
2009;10;2.14.12.03.00; ;80;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;320;0;0
2009;10;2.14.12.05.00; ;80;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;320;0;0
2009;10;2.14.12.06.00; ;80;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;320;0;0
2009;10;2.14.12.08.00; ;80;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;320;0;0
2009;10;2.14.12.09.00; ;84;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;324;0;0
2009;10;2.14.12.11.00; ;80;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;320;0;0
2009;10;2.14.12.12.00; ;84;0;0;2280;0;0;0;0;0;0;0;0;1440;0;0;840;0;0;-2040;0;0;0;0;0;-600;0;0;-1440;0;0;0;0;0;0;0;0;0;0;0;324;0;0
