xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:19
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"US"	"1.9.2"	2	"PCR Browse"	""	"pcbr024.p"	"pcbr024.hlp"
"US"	"1.9.2"	4	"Route PCR for Approval"	""	"ecrsbmt.p"	"ecrsbmt.hlp"
"US"	"1.9.2"	8	"PCR/PCO Detail Inquiry"	""	"ececiq.p"	"ececiq.hlp"
"US"	"1.9.2"	13	"PCO Maintenance"	""	"ecpcomt.p"	"ecpcomt.hlp"
"US"	"1.9.2"	14	"PCO Browse"	""	"pcbr025.p"	"pcbr025.hlp"
"US"	"1.9.2"	16	"Route PCO for Approval"	""	"ecosbmt.p"	"ecosbmt.hlp"
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      3                                            ¹ãÖÝÕÑºÍÆû³µÁã²¿¼þÓÐÏÞ¹«Ë¾                                      Ê±¼ä: 11:25:20
"US"	"1.9"	6	"Approvals Menu"	""	"1.9.6"	""
"US"	"1.9.6"	1	"PCR/PCO Approval"	""	"pcapqu.p"	"pcapqu.hlp"
"US"	"1.9.6"	2	"Approval Browse"	""	"pcbr029.p"	"pcbr029.hlp"
"US"	"1.9.6"	13	"Detail Approval Maintenance"	""	"pcapdtmt.p"	"pcapdtmt.hlp"
"US"	"1.9"	7	"PCO Implementation Menu"	""	"1.9.7"	""
"US"	"1.9.7"	1	"Release and Distribution"	""	"ecrels.p"	"ecrels.hlp"
"US"	"1.9.7"	3	"Incorporation Planning Report"	""	"ecinplan.p"	"ecinplan.hlp"
"US"	"1.9.7"	4	"Incorporation Selection"	""	"ecincsel.p"	"ecincsel.hlp"
"US"	"1.9.7"	5	"Incorporation"	""	"ecincpro.p"	"ecincpro.hlp"
"US"	"1.9.7"	13	"Implementation"	""	"ecimppro.p"	"ecimppro.p"
"US"	"1.9"	9	"PCC Reports and Inquiries Menu"	""	"1.9.9"	""
"US"	"1.9.9"	1	"Print PCR/PCO"	""	"ececrp.p"	"ececrp.hlp"
"US"	"1.9.9"	3	"Affected Structures/Formulas Inq"	""	"ecbmpsiq.p"	"ecbmpsiq.hlp"
"US"	"1.9.9"	4	"Structure/Formula Impact Report"	""	"ecpsfmrp.p"	"ecpsfmrp.hlp"
"US"	"1.9.9"	6	"Item Revision History Browse"	""	"ecbr007.p"	"ecbr007.hlp"
"US"	"1.9"	11	"PCR/PCO Status Browse"	""	"pcbr003.p"	"pcbr003.hlp"
"US"	"1.9"	13	"PCR/PCO Import/Export"	""	"ecdmpld.p"	"ecdmpld.hlp"
"US"	"1.9"	14	"PCR/PCO Close"	""	"ecclose.p"	"ecclose.hlp"
"US"	"1.9"	15	"PCR/PCO Delete/Archive"	""	"ecarcdel.p"	"ecarcdel.hlp"
"US"	"1.9"	24	"PCC Control"	""	"pcpcpm.p"	"pcpcpm.hlp"
"US"	"1.9"	25	"Product Change Utility Menu"	""	"1.9.25"	""
"US"	"1.9.25"	1	"PCO/PCR Function Maintenance"	""	"ecmtb01.p"	"ecmtb01.hlp"
"US"	"1.9.25"	2	"Text Data Maintenance"	""	"ecmtb02.p"	"ecmtb02.hlp"
"US"	"1.9.25"	3	"Item Data Maintenance"	""	"ecmtb03.p"	"ecmtb03.hlp"
"US"	"1.9.25"	4	"Structure Data Maintenance"	""	"ecmtb04.p"	"ecmtb04.hlp"
"US"	"1.9.25"	5	"Routing Data Maintenance"	""	"ecmtb05.p"	"ecmtb05.hlp"
"US"	"1.9.25"	6	"Formula Data Maintenance"	""	"ecmtb06.p"	"ecmtb06.hlp"
"US"	"1.9.25"	7	"Process Data Maintenance"	""	"ecmtb07.p"	"ecmtb07.hlp"
"US"	"1.9.25"	8	"Item Specification Maintenance"	""	"ecmtb09.p"	"ecmtb09.hlp"
"US"	"1.9.25"	9	"Trailer Maintenance"	""	"ecmtb08.p"	"ecmtb08.hlp"
"US"	"1.9.25"	22	"PCO Structure/Formula Update"	""	"utecpsfm.p"	""
"US"	"1.9"	26	"PCO Maintenance Sub-Functions"	""	"1.9.26"	""
"US"	"1.9.26"	1	"Change PCO Number"	""	"ecmt01.p"	""
"US"	"1.9.26"	2	"Close/Copy/Convert PCO or PCR"	""	"ecmt02.p"	""
"US"	"1.9.26"	3	"Copy Text from Master Comments"	""	"ecmt03.p"	""
"US"	"1.9.26"	4	"Add/Modify/Delete PCO Text"	""	"ecmt04.p"	""
