xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      1                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"mnt_lang"	"mnd_nbr"	"mnd_select"	"mnd_label"	"mnd_name"	"mnd_exec"	"mnd_help"
"ch"	"1.8"	17	"·ÖÎö´úÂë±¨±í"	""	"ppacrp01.p"	"ppacrp01.hlp"
"ch"	"1.8"	19	"·ÖÎö´úÂëÃ÷Ï¸ÎÄ¼ş½¨Á¢"	""	"ppacut01.p"	"ppacut01.hlp"
"ch"	"1.8"	20	"·ÖÎö´úÂë¸´ÖÆ"	""	"ppaccp.p"	"ppaccp.hlp"
"ch"	"1"	9	"²úÆ·¸Ä±ä¿ØÖÆ²Ëµ¥"	""	"1.9"	""
"ch"	"1.9"	1	"PCCÉèÖÃ²Ëµ¥"	""	"1.9.1"	""
"ch"	"1.9.1"	1	"·Ö×éÎ¬»¤"	""	"pcgrmt.p"	""
"ch"	"1.9.1"	2	"·Ö×éä¯ÀÀ"	""	"pcbr004.p"	"pcbr004.hlp"
"ch"	"1.9.1"	3	"ÔÚ×éÖĞÎ¬³ÖÓÃ»§"	""	"pcurgrmt.p"	""
"ch"	"1.9.1"	4	"°´ÓÃ»§ä¯ÀÀ·Ö×é"	""	"pcbr002.p"	""
"ch"	"1.9.1"	5	"¹¤ÒÕÁ÷³Ìµ¥Î¬»¤"	""	"pcrsmt.p"	""
"ch"	"1.9.1"	6	"¹¤ÒÕÁ÷³Ìµ¥ä¯ÀÀ"	""	"pcbr006.p"	"pcbr006.hlp"
"ch"	"1.9.1"	7	"¹¤ÒÕÁ÷³Ìµ¥¸±±¾"	""	"pcrscp.p"	""
"ch"	"1.9.1"	9	"PCR/PCOÀàĞÍÎ¬»¤"	""	"pctypemt.p"	"pctypemt.hlp"
"ch"	"1.9.1"	10	"PCR/PCOÀàĞÍä¯ÀÀ"	""	"pcbr026.p"	"pcbr026.hlp"
xxmgmer2.p 0905                         15.1           36.25.99.3 ²Ëµ¥ÏµÍ³±¨±í                                        ÈÕÆÚ: 11/03/07
Ò³:      3                                            ¹ãÖİÕÑºÍÆû³µÁã²¿¼şÓĞÏŞ¹«Ë¾                                      Ê±¼ä: 11:24:55
"ch"	"1.9"	2	"PCR/PCOÎ¬»¤²Ëµ¥"	""	"1.9.2"	""
"ch"	"1.9.2"	1	"PCRÎ¬»¤"	""	"ecpcrmt.p"	"ecpcrmt.hlp"
"ch"	"1.9.2"	2	"PCR ä¯ÀÀ"	""	"pcbr024.p"	"pcbr024.hlp"
"ch"	"1.9.2"	4	"ËÍ½»PCRÇëÇóÅú×¼"	""	"ecrsbmt.p"	"ecrsbmt.hlp"
"ch"	"1.9.2"	8	"PCR/PCOÏ¸½Ú²éÑ¯"	""	"ececiq.p"	"ececiq.hlp"
"ch"	"1.9.2"	13	"PCOÎ¬»¤"	""	"ecpcomt.p"	"ecpcomt.hlp"
"ch"	"1.9.2"	14	"PCOä¯ÀÀ"	""	"pcbr025.p"	"pcbr025.hlp"
"ch"	"1.9.2"	16	"ËÍ½»PCOÇëÇóÅú×¼"	""	"ecosbmt.p"	"ecosbmt.hlp"
"ch"	"1.9"	6	"Åú×¼²Ëµ¥"	""	"1.9.6"	""
"ch"	"1.9.6"	1	"PCR/PCOÅú×¼"	""	"pcapqu.p"	"pcapqu.hlp"
"ch"	"1.9.6"	2	"Åú×¼ä¯ÀÀ"	""	"pcbr029.p"	"pcbr029.hlp"
"ch"	"1.9.6"	13	"ÏêÏ¸ºË×¼Î¬»¤"	""	"pcapdtmt.p"	"pcapdtmt.hlp"
"ch"	"1.9"	7	"PCOÊµÊ©²Ëµ¥"	""	"1.9.7"	""
"ch"	"1.9.7"	1	"·¢²¼Óë·ÖÏú"	""	"ecrels.p"	"ecrels.hlp"
"ch"	"1.9.7"	3	"ºÏ²¢¼Æ»®±¨±í"	""	"ecinplan.p"	"ecinplan.hlp"
"ch"	"1.9.7"	4	"ºÏ²¢Ñ¡Ôñ"	""	"ecincsel.p"	"ecincsel.hlp"
"ch"	"1.9.7"	5	"ºÏ²¢"	""	"ecincpro.p"	"ecincpro.hlp"
"ch"	"1.9.7"	13	"ÊµÊ©"	""	"ecimppro.p"	"ecimppro.p"
"ch"	"1.9"	9	"PCC±¨±íºÍ²éÑ¯²Ëµ¥"	""	"1.9.9"	""
"ch"	"1.9.9"	1	"´òÓ¡PCR/PCO"	""	"ececrp.p"	"ececrp.hlp"
"ch"	"1.9.9"	3	"ÊÜÓ°ÏìµÄ½á¹¹/ÅäÁÏ²éÑ¯"	""	"ecbmpsiq.p"	"ecbmpsiq.hlp"
"ch"	"1.9.9"	4	"½á¹¹/ÅäÁÏÓ°Ïì±¨¸æ"	""	"ecpsfmrp.p"	"ecpsfmrp.hlp"
"ch"	"1.9.9"	6	"Áã¼ş°æ±¾ÀúÊ·¼ÇÂ¼ä¯ÀÀ"	""	"ecbr007.p"	"ecbr007.hlp"
"ch"	"1.9"	11	"PCR/PCO×´Ì¬ä¯ÀÀ"	""	"pcbr003.p"	"pcbr003.hlp"
"ch"	"1.9"	13	"PCR/PCO ÊäÈë/Êä³ö"	""	"ecdmpld.p"	"ecdmpld.hlp"
"ch"	"1.9"	14	"PCR/PCO¹Ø±Õ"	""	"ecclose.p"	"ecclose.hlp"
"ch"	"1.9"	15	"PCR/PCOÉ¾³ı/´æµµ"	""	"ecarcdel.p"	"ecarcdel.hlp"
"ch"	"1.9"	24	"PCC ¿ØÖÆ"	""	"pcpcpm.p"	"pcpcpm.hlp"
"ch"	"1.9"	25	"²úÆ·¸ü¸ÄÊµÓÃ³ÌĞò²Ëµ¥"	""	"1.9.25"	""
"ch"	"1.9.25"	1	"PCO/PCR ¹¦ÄÜÎ¬»¤"	""	"ecmtb01.p"	"ecmtb01.hlp"
"ch"	"1.9.25"	2	"ÎÄ±¾Êı¾İÎ¬»¤"	""	"ecmtb02.p"	"ecmtb02.hlp"
"ch"	"1.9.25"	3	"Áã¼şÊı¾İÎ¬»¤"	""	"ecmtb03.p"	"ecmtb03.hlp"
