帐户;分帐户;成本中心;金额
113311;3144;;0
113311;3145;;0
113311;3146;;0
113311;3147;;0
113311;3148;;0
113311;3149;;0
113311;3150;;0
113311;3151;;0
113311;3152;;0
113311;3153;;0
113311;3154;;0
113311;3155;;0
113311;3156;;0
113311;3157;;0
113311;3158;;0
113311;3159;;0
113311;3160;;0
113311;3161;;0
113311;3162;;0
113311;3163;;0
113311;3164;;0
113311;3165;;0
113311;3166;;0
113311;3167;;0
113311;3168;;0
113311;3169;;0
113311;3170;;0
113311;3171;;0
113311;3172;;0
113311;3173;;0
113311;3174;;0
113311;3175;;0
113311;3176;;0
113311;3177;;0
113311;3178;;0
113311;3179;;0
113311;3180;;0
113311;3181;;0
113311;3182;;0
113311;3183;;0
113311;3184;;0
113311;3185;;0
113311;3186;;0
113311;3187;;0
113311;3188;;0
113311;3189;;0
113311;3190;;0
113311;3191;;0
113311;3192;;0
113311;3193;;0
113311;3194;;0
113311;3900;;0
113311;3901;;0
113311;3902;;0
113311;3903;;0
113311;3904;;0
113321;601002;;0
113321;601007;;0
113321;601008;;0
113321;601010;;0
113321;601012;;0
113321;601013;;0
113321;601014;;0
113321;601015;;0
113321;603002;;0
113321;604001;;0
113321;604003;;0
113321;608001;;0
113321;609002;;0
113321;609004;;0
113321;609007;;0
113321;609009;;0
113321;60X001;;0
113321;60X002;;0
113321;60X003;;0
113321;60X004;;0
113321;60X005;;0
113321;60X006;;0
113321;60X007;;0
113321;60X008;;0
113321;60X009;;0
113321;60X010;;0
113321;691036;;0
113321;693048;;0
113322;609002;;0
113322;609003;;0
113322;609004;;0
113322;609005;;0
113322;609006;;0
113322;609007;;0
113322;609010;;0
113322;609011;;0
113322;609012;;0
113322;609013;;0
113322;69Y009;;0
113323;609001;;0
11341101;;;0
11341102;;;0
11341103;;;0
11341104;;;0
11341201;;;0
11341202;;;0
11341203;;;0
11341301;;;0
11341302;;;0
11341303;;;0
11341304;;;0
11341305;;;0
11341306;;;0
11341307;;;0
11341308;;;0
11341309;;;0
11341310;;;0
11341311;;;0
11341312;;;0
11341313;;;0
11341314;;;0
11341315;;;0
11341316;;;0
11341317;;;0
11341318;;;0
11341319;;;0
11341320;;;0
11341321;;;0
11341322;;;0
11341323;;;0
11341324;;;0
11341325;;;0
11341326;;;0
113414;;;0
113415;;;0
113416;;;0
113417;;;0
1134181;;;0
1134182;;;0
1134183;;;0
11411;;;0
11511;691102;;0
11511;697030;;0
11511;69Y009;;0
1201;01;;0
1201;02;;0
1201;03;;0
1201;04;;0
1201;09;;0
12111;01;;0
12111;02;;0
12111;03;;0
12112;01;;0
12112;02;;0
12112;03;;0
12112;04;;0
12113;03;;0
12210101;25000001;;148
12210101;25000002;;9000.01
12210101;25000003;;0
12210101;25000004;;50024.37
12210101;25000005;;0
12210101;25000006;;0
12210101;25000007;;11407.07
12210101;25000008;;29435.13
12210101;25000009;;34652.7
12210101;25000010;;18720
12210101;25000011;;0
12210101;25000012;;6000
12210101;25000013;;7500
12210101;25000014;;20508.09
12210101;25000015;;3000
12210101;25000016;;0
12210101;25000017;;9000
12210101;25000018;;10000
12210101;25000019;;0
12210101;25000020;;40000
12210101;25000022;;0
12210101;25000023;;4000
12210101;25000024;;0
12210101;25000025;;6000
12210101;25000026;;0
12210101;25000027;;0
12210101;25000028;;10100
12210101;25000029;;0
12210101;25000030;;0
12210101;25000032;;0
12210101;25000034;;4000
12210101;25000035;;2225.6
12210101;25000036;;0
12210101;25000037;;0
12210101;25000038;;7200
12210101;25000039;;0
12210101;25000040;;5300
12210101;25000041;;0
12210101;25000043;;550
12210101;25000044;;34281.6
12210101;25000045;;6000
12210101;25000046;;2600
12210101;25000047;;16272.54
12210102;31000002;;25582.76
12210102;31000005;;39674.9
12210102;31000006;;6000
12210102;31000007;;10000
12210102;31000008;;109207.93
12210102;31000009;;0
12210102;31000010;;94296.42
12210102;31000011;;35000
12210102;31000012;;4598.95
12210102;31000013;;0
12210102;31000019;;55000
12210102;31000020;;-32980.61
12210102;31000022;;1905.21
12210102;31000025;;189173.12
12210102;31000026;;2001.6
12210102;31000027;;95000
12210102;31009001;;830508.87
12210102;31009002;;236360.55
12210102;31009004;;455644.84
12210202;31000004;;1876
12210202;31000013;;846369.55
12210202;31000014;;8002.36
12210202;31000015;;0
12210202;31000016;;6755.23
12210202;31000017;;-40570.59
12210202;31000018;;4469.42
12210202;31000021;;131893.33
12210202;31000023;;8140.36
12210202;31000024;;276306.66
12210202;31009003;;259511.6
122111;55010001;;25243210.1
122111;55010002;;187161604.37
122111;55010009;;1388295.54
122112;55000001;;162086052.05
122112;55000002;;47590781.48
122112;55000003;;1847723.48
122112;55000009;;97029969.11
122113;;;-228267587.35
123101;;;-96976.71
12311;;;0
12312;;;0
12313;;;0
12314;;;0
12411;;11;0
12411;;12;0
12411;;13;0
12411;;14;0
12411;;15;0
12411;;16;0
12411;;17;0
12411;;22;0
12411;;23;0
12411;;32;0
12411;;34;0
12411;;35;0
12411;;36;0
12412;;11;0
12412;;12;0
12412;;13;0
12412;;14;0
12412;;15;0
12412;;16;0
12412;;17;0
12412;;22;0
12412;;23;0
12412;;32;0
12412;;34;0
12412;;35;0
12412;;36;0
12413;01;;0
12413;02;;0
12413;03;;0
12414;01;;0
12414;02;;0
12414;03;;0
12419;;;0
12431;50011;;0
12431;50013;;0
12431;50014;;0
12431;50015;;0
12431;50021;;0
12431;50022;;0
12431;50025;;0
12431;50031;;0
12431;50035;;0
12431;50045;;0
12431;50051;;0
12431;50052;;0
12431;50055;;0
12431;50061;;0
12431;50062;;0
12431;50066;;0
12431;50071;;0
12431;50072;;0
12431;50073;;0
12431;50074;;0
12431;50081;;0
12431;50082;;0
12431;50083;;0
12431;50111;;0
12431;50146;;0
12431;50147;;0
12431;50148;;0
12431;52011;;0
12431;52012;;0
12431;52021;;0
12431;52022;;0
12431;52023;;0
12431;52024;;0
12431;52025;;0
12431;52031;;0
12431;52033;;0
12431;52041;;0
12431;52042;;0
12431;52043;;0
12431;52051;;0
12431;52052;;0
12431;52053;;0
12431;52054;;0
12431;52055;;0
12431;52071;;0
12431;52072;;0
12431;52073;;0
12431;52075;;0
12431;52081;;0
12431;52082;;0
12431;52085;;0
12431;52091;;0
12431;52092;;0
12431;52093;;0
12431;52094;;0
12431;52095;;0
12431;52101;;0
12431;52102;;0
12431;52103;;0
12431;52104;;0
12431;52105;;0
12431;54011;;0
12431;54012;;0
12431;54021;;0
12431;54031;;0
12431;54041;;0
12431;54051;;0
12431;54061;;0
12431;54091;;0
12431;54121;;0
12431;54131;;0
12431;54141;;0
12431;54151;;0
12431;54241;;0
12431;56011;;0
12431;56012;;0
12431;56021;;0
12431;56022;;0
12431;56031;;0
12431;56032;;0
12431;56033;;0
12431;56041;;0
12431;56042;;0
12431;58007;;0
