#def REPORTPATH=$/QAD Addons/BI Report/xxicaldr
#def :end
"会计单位";"年份";"期间";"零件";"工单";"分配比例";"数量";"基础参数";"乘参数1";"乘参数2";"乘参数3";"除参数1";"除参数2";"除参数3";"单量";"总量";"量比";"成本"
"1000";2009;6;"2.02.05.05.00";"28346";"RGGS";6847.0992;1;1;1;1;1;1;1;1;6847.0992;.0002138686;213.8686
"1000";2009;6;"2.02.05.05.00";"28346";"RGGS";6847.0992;1;1;1;1;1;1;1;1;6847.0992;.0002138686;42.77372
"1000";2009;6;"2.02.05.05.00";"28346";"RGGS";6847.0992;1;1;1;1;1;1;1;1;6847.0992;.0002138686;64.16058
"1000";2009;6;"2.02.05.05.00";"28346";"RGGS";6847.0992;1;1;1;1;1;1;1;1;6847.0992;.0002138686;106.9343
"1000";2009;6;"2.02.05.05.00";"28360";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;171.0949
"1000";2009;6;"2.02.05.05.00";"28360";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;34.21898
"1000";2009;6;"2.02.05.05.00";"28360";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;51.32847
"1000";2009;6;"2.02.05.05.00";"28360";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;85.54745
"1000";2009;6;"2.02.05.05.00";"28372";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;235.2555
"1000";2009;6;"2.02.05.05.00";"28372";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;47.0511
"1000";2009;6;"2.02.05.05.00";"28372";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;70.57665
"1000";2009;6;"2.02.05.05.00";"28372";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;117.62775
"1000";2009;6;"2.02.05.05.00";"28381";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;192.4818
"1000";2009;6;"2.02.05.05.00";"28381";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;38.49636
"1000";2009;6;"2.02.05.05.00";"28381";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;57.74454
"1000";2009;6;"2.02.05.05.00";"28381";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;96.2409
"1000";2009;6;"2.02.05.05.00";"28394";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;171.0949
"1000";2009;6;"2.02.05.05.00";"28394";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;34.21898
"1000";2009;6;"2.02.05.05.00";"28394";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;51.32847
"1000";2009;6;"2.02.05.05.00";"28394";"RGGS";5477.6794;1;1;1;1;1;1;1;1;5477.6794;.0001710949;85.54745
"1000";2009;6;"2.02.05.05.00";"28404";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;235.2555
"1000";2009;6;"2.02.05.05.00";"28404";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;47.0511
"1000";2009;6;"2.02.05.05.00";"28404";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;70.57665
"1000";2009;6;"2.02.05.05.00";"28404";"RGGS";7531.8091;1;1;1;1;1;1;1;1;7531.8091;.0002352555;117.62775
"1000";2009;6;"2.02.05.05.00";"28420";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;192.4818
"1000";2009;6;"2.02.05.05.00";"28420";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;38.49636
"1000";2009;6;"2.02.05.05.00";"28420";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;57.74454
"1000";2009;6;"2.02.05.05.00";"28420";"RGGS";6162.3893;1;1;1;1;1;1;1;1;6162.3893;.0001924818;96.2409
"1000";2009;6;"2.02.05.05.00";"28460";"RGGS";1369.4198;1;1;1;1;1;1;1;1;1369.4198;.0000427737;42.7737
"1000";2009;6;"2.02.05.05.00";"28460";"RGGS";1369.4198;1;1;1;1;1;1;1;1;1369.4198;.0000427737;8.55474
"1000";2009;6;"2.02.05.05.00";"28460";"RGGS";1369.4198;1;1;1;1;1;1;1;1;1369.4198;.0000427737;12.83211
"1000";2009;6;"2.02.05.05.00";"28460";"RGGS";1369.4198;1;1;1;1;1;1;1;1;1369.4198;.0000427737;21.38685
"1000";2009;6;"2.02.05.06.00";"28345";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;162.1288
"1000";2009;6;"2.02.05.06.00";"28345";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;32.42576
"1000";2009;6;"2.02.05.06.00";"28345";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;48.63864
"1000";2009;6;"2.02.05.06.00";"28345";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;81.0644
"1000";2009;6;"2.02.05.06.00";"28359";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;135.1073
"1000";2009;6;"2.02.05.06.00";"28359";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;27.02146
"1000";2009;6;"2.02.05.06.00";"28359";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;40.53219
"1000";2009;6;"2.02.05.06.00";"28359";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;67.55365
"1000";2009;6;"2.02.05.06.00";"28371";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;162.1288
"1000";2009;6;"2.02.05.06.00";"28371";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;32.42576
"1000";2009;6;"2.02.05.06.00";"28371";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;48.63864
"1000";2009;6;"2.02.05.06.00";"28371";"RGGS";5190.6259;1;1;1;1;1;1;1;1;5190.6259;.0001621288;81.0644
"1000";2009;6;"2.02.05.06.00";"28380";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;135.1073
"1000";2009;6;"2.02.05.06.00";"28380";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;27.02146
"1000";2009;6;"2.02.05.06.00";"28380";"RGGS";4325.5216;1;1;1;1;1;1;1;1;4325.5216;.0001351073;40.53219
